5074472,NA,US,Nebraska,Omaha,68106,41.239,-95.9994,3442
4509177,NA,US,Ohio,Columbus,43220,40.0486,-83.0726,3362
4891051,NA,US,Illinois,Elmwood Park,60707,41.9232,-87.8057,3268
4224745,NA,US,Georgia,Stone Mountain,30087,33.8082,-84.1702,3250
5381396,NA,US,California,Pasadena,91106,34.1379,-118.1296,3242
2963597,EU,IE,Dublin,Dublin,,53.3478,-6.2597,3229
5377199,NA,US,California,Norco,92860,33.93,-117.5642,3226
5045360,NA,US,Minnesota,Saint Paul,55105,44.9358,-93.1631,3214
5001836,NA,US,Michigan,Farmington,,42.4645,-83.3763,3206
4174757,NA,US,Florida,Tampa,33618,28.0771,-82.4871,3199
4259418,NA,US,Indiana,Indianapolis,46220,39.8686,-86.1003,3139
2711537,EU,SE,Västra Götaland,Gothenburg,41279,57.7072,11.9668,3056
2886242,EU,DE,North Rhine-Westphalia,Cologne,50679,50.9318,6.9715,3054
2964574,EU,IE,Leinster,Dublin,,53.3331,-6.2489,2980
4990729,NA,US,Michigan,Detroit,48213,42.3968,-82.997,2926
2655603,EU,GB,England,Birmingham,,52.4667,-1.9167,2923
5799625,NA,US,Washington,Kent,98042,47.3618,-122.1033,2907
5317058,NA,US,Arizona,Tempe,85282,33.4001,-111.929,2811
5335663,NA,US,California,Cerritos,90703,33.8584,-118.0648,2755
4956184,NA,US,Massachusetts,Worcester,01609,42.2857,-71.8292,2740
5128638,NA,US,New York,New York,11211,40.7111,-73.9469,2689
2825297,EU,DE,Baden-Württemberg Region,Stuttgart,70372,48.8026,9.2177,2689
